student_id_new,acct_id_new,person_detail_id_new,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id,gender,city,state,zip,ethnicity
8467,15398,19940,51,10,5,6.0,N,N,3.66667,1,6,3.66667,0,11,M,Connelly Springs,NC,28612,0
8468,1677,21617,17,19,5,8.0,N,N,2.75,16,6,1.71667,4,12,M,Hot Springs,NC,28743,0
8469,5153,18987,49,10,5,6.0,N,N,3.66667,0,2,3.38462,0,12,F,Rutherford College,NC,28671,0
8470,13123,2371,15,1,5,7.0,N,N,2.56296,7,2,1.63333,5,11,F,North WIlkesboro,NC,28659,0
8471,4387,27047,18,1,5,7.0,N,N,,6,0,,0,12,F,Wilkesboro,NC,28697,0
8472,10939,19547,49,10,5,6.0,N,N,3.0,4,0,2.53846,1,12,F,Drexel,NC,28619,0
8473,1125,18027,17,19,5,6.0,N,N,3.45,9,0,3.03333,1,12,M,Mars Hill,NC,28754,0
8474,12910,22202,31,16,9,8.0,N,N,2.25417,0,0,1.61667,3,11,M,Mars Hill,NC,28754,1
8475,4938,14236,67,2,5,7.0,N,N,3.62667,2,0,3.48889,0,12,M,West Jefferson,NC,28694,0
8476,12732,2593,67,2,5,7.0,N,N,3.91875,2,2,3.87,0,12,F,Fleetwood,NC,28626,0
8477,8914,3761,15,1,4,6.0,N,N,3.95,2,3,3.95,0,12,F,North Wilkesboro,NC,28659,0
8478,12336,15691,51,10,5,6.0,N,Y,3.33333,0,0,3.22222,0,11,M,Hickory,NC,28602,0
8479,11280,23359,45,14,7,9.0,N,N,1.85,16,8,1.85,0,12,M,Hays,NC,28635,2
8480,3127,27451,16,10,9,6.0,N,N,3.25806,0,0,3.0,0,11,M,Morganton,NC,28655,1
8481,15054,27567,71,21,2,9.0,N,N,1.625,8,42,1.23333,5,12,M,Morganton,NC,28655,0
8482,16592,29067,36,10,5,6.0,N,N,3.54167,0,0,3.41667,0,11,M,Morganton,NC,28655,0
8483,9335,24957,17,19,5,6.0,N,N,3.16333,0,1,2.90556,0,11,M,Mars Hill,NC,28754,0
8484,6626,24234,17,19,5,6.0,N,Y,3.03667,0,0,2.77778,0,11,M,Marshall,NC,28753,0
8485,7437,23630,9,5,7,7.0,N,N,1.89333,0,0,1.30556,15,11,M,Sparta,NC,28675,1
8486,7987,19769,9,5,7,7.0,N,N,2.89032,18,19,2.58095,0,11,M,Sparta,NC,28675,0
8487,14857,21360,9,5,5,8.0,N,N,3.68621,4,7,3.64,0,12,M,Independence,VA,24348,0
8488,10870,9655,18,1,5,8.0,N,N,3.75556,0,3,3.75556,0,12,M,Ferguson,NC,28624,0
8489,13372,20409,55,10,5,7.0,N,N,3.08,0,0,2.69231,1,11,M,Morganton,NC,28655,0
8490,14745,1731,18,1,5,6.0,N,N,3.95,1,0,3.95,0,12,F,Millers Creek,NC,28651,0
